sno,sna,tot,lat,lng,sarea
0001,捷運市政府站(3號出口),180,25.0408578889,121.567904444,信義區
0002,捷運國父紀念館站(2號出口),48,25.041254,121.55742,大安區
0003,台北市政府,40,25.0377972222,121.565169444,信義區
0004,市民廣場,60,25.0360361111,121.562325,信義區
0005,興雅國中,60,25.0365638889,121.5686639,信義區
0006,臺北南山廣場,80,25.034047,121.565973,信義區
0007,信義廣場(台北101),80,25.0330388889,121.565619444,信義區
0008,世貿三館,60,25.0352138889,121.563688889,信義區
0009,松德站,40,25.031785, 121.57448,信義區
0010,台北市災害應變中心,54,25.0286611111,121.566116667,信義區
0011,三張犁,66,25.034937,121.55762,信義區
0012,臺北醫學大學,48,25.026679,121.561747,信義區
0013,福德公園,58,25.03809,121.58367,信義區
0014,榮星花園,32,25.06424,121.54037,中山區
0015,饒河夜市,60,25.049845,121.571885,松山區
0016,松山家商,48,25.036084,121.579135,信義區
0017,民生光復路口,34,25.05862,121.55514,松山區
0018,臺北市藝文推廣處,38,25.048268,121.552278,松山區
0019,象山公園,30,25.02863,121.56981,信義區
0020,捷運科技大樓站,70,25.025896,121.543293,大安區
0021,民生敦化路口,66,25.057985,121.548982,松山區
0022,松山車站,44,25.048824,121.57845,信義區
0023,東新國小,32,25.055074,121.602798,南港區
0024,信義建國路口,46,25.03293,121.53747,大安區
0025,永吉松信路口,30,25.04543,121.57205,信義區
0026,捷運昆陽站(1號出口),42,25.050142,121.592375,南港區
0027,捷運南港展覽館站(5號出口),42,25.05469,121.61669,南港區
0028,五常公園,32,25.04814,121.57467,信義區
0029,金山愛國路口,54,25.03164,121.52655,大安區
0030,基隆長興路口,74,25.017054,121.544352,大安區
0031,辛亥新生路口,30,25.022413,121.53456,大安區
0032,捷運六張犁站,38,25.023884,121.553161,大安區
0033,中崙高中,46,25.04878,121.56087,松山區
0034,捷運行天宮站(1號出口),32,25.058369,121.532934,中山區
0035,捷運行天宮站(3號出口),30,25.059978,121.533302,中山區
0036,臺大資訊大樓,72,25.02101,121.54153,大安區
0037,捷運東門站(4號出口),46,25.0337,121.528988,大安區
0038,臺灣師範大學(圖書館),34,25.02665,121.52889,大安區
0039,南港世貿公園,26,25.058,121.61422,南港區
0040,玉成公園,34,25.04287,121.58640,南港區
0041,中研公園,30,25.047425,121.613706,南港區
0042,捷運後山埤站(1號出口),38,25.04431,121.58174,信義區
0043,凌雲市場,36,25.035639,121.614154,南港區
0044,捷運南港軟體園區站(2號出口),36,25.05973,121.616187,南港區
0045,捷運公館站(2號出口),30,25.01476  ,121.534538 ,大安區
0046,南港國小,44,25.05646,121.611027 ,南港區
0047,捷運忠孝新生站(3號出口),36,25.041924 ,121.533862  ,大安區
0048,南港車站(忠孝東路),38,25.05247,121.608202,南港區
0049,龍門廣場,52,25.040901,121.548252  ,大安區
0050,民權運動公園,52,25.062002,121.560186,松山區
0051,建國農安街口,44,25.065031,121.536775  ,中山區
0052,建國長春路口,30,25.054761,121.536925,中山區
0053,八德市場,26,25.044781,121.536609,中山區
0054,臺北市立圖書館(總館),30,25.028798,121.538073,大安區
0055,臺北田徑場,46,25.049505,121.549408,松山區
0056,仁愛林森路口,42,25.038954,121.522334,中正區
0057,新生和平路口,46,25.026217,121.53519,大安區
0058,捷運善導寺站(1號出口),48,25.045267,121.522200 ,中正區
0059,林森公園,32,25.052227,121.525805,中山區
0060,中山行政中心,30,25.064317,121.533487 ,中山區
0061,台灣科技大學,46,25.0131,121.539723 ,大安區
0062,南昌公園,34,25.026827,121.520258,中正區
0063,仁愛醫院,36,25.037569,121.545632,大安區
0064,國家圖書館,50,25.037773,121.517029,中正區
0065,青年公園3號出口,38,25.022725,121.502708 ,萬華區
0066,師範大學公館校區,42,25.007528,121.537188 ,文山區
0067,捷運臺大醫院(4號出口),48,25.042973,121.516428,中正區
0068,國興青年路口,36,25.025865,121.506536,萬華區
0069,興豐公園,34,24.999837,121.547778,文山區
0070,捷運台北101/世貿站,52,25.032752,121.561645,信義區
0071,捷運信義安和站(4號出口),30,25.032985,121.554204,大安區
0072,新生長安路口,42,25.048611,121.529346,中山區
0073,酒泉延平路口,32,25.072228,121.510195,大同區
0074,信義連雲街口,40,25.033817,121.530547,中正區
0075,基隆光復路口,30,25.0300508,121.557635,信義區
0076,新生長春路口,36,25.056387,121.527522,中山區
0077,民生活動中心,32,25.059147,121.56297,松山區
0078,捷運圓山站(2號出口),52,25.071824,121.519287,大同區
0079,捷運民權西路站(3號出口),50,25.061285,121.520205,大同區
0080,華江高中,44,25.02751,121.495869,萬華區
0081,捷運台電大樓站(2號出口),40,25.020547,121.528552,大安區
