sno,sna,tot,lat,lng,sarea
1001,大鵬華城,38,24.99116,121.53398,新店區
1002,汐止火車站,56,25.068914,121.662748,汐止區
1003,汐止區公所,46,25.064162,121.658301,汐止區
1004,國泰綜合醫院,56,25.07315,121.662555,汐止區
1005,裕隆公園,40,24.979649,121.546319,新店區
1006,捷運大坪林站(3號出口),32,24.983977,121.541721,新店區
1007,汐科火車站(北),34,25.064106,121.653019,汐止區
1008,興華公園,40,25.060125,121.483101,三重區
1009,三重國民運動中心,68,25.054391,121.488489,三重區
1010,捷運三重站(3號出口),34,25.055883,121.484739,三重區
1011,樟樹國小,48,25.066688,121.640367,汐止區
1012,金龍國小,52,25.0688,121.628908,汐止區
1013,白雲國小,46,25.047578,121.618888,汐止區
1014,東勢宜興活動中心,52,25.039031,121.624333,汐止區
1015,後港公園,40,25.025358,121.428348,新莊區
1016,福營行政中心,42,25.0241250,121.423870,新莊區
1017,西盛公園,36,25.017113,121.428048,新莊區
1018,忠誠里(北新路2段97巷),40,24.974272,121.542779,新店區
1019,仁愛廣場,50,25.090565,121.471621,蘆洲區
1020,重陽國小,42,25.066245 ,121.484337 ,三重區
1021,明志國中,50,25.063396,121.488982,三重區
1022,三重商工,64,25.068681,121.480705,三重區
1023,捷運新莊站(1號出口),58,25.036152 ,121.452069 ,新莊區
1024,原興廣場,52,25.065042,121.633149,汐止區
1025,文化白雲公園,76,25.056875,121.655207,汐止區
1026,秀山國小,62,24.996151 ,121.521988 ,中和區
1027,捷運永安市場站,72,25.001013 ,121.511588 ,中和區
1028,福和國中,66,25.005952,121.520930,永和區
1029,仁愛公園,60,25.009838,121.505825,永和區
1030,中和公園,46,25.000726 ,121.514350 ,中和區
1031,金龍公園,52,25.069473,121.631525 ,汐止區
1032,重陽公園,50,25.085688,121.483618,蘆洲區
1033,捷運三民高中站(1號出口),78,25.085815 ,121.472722 ,蘆洲區
1034,中原公園,58,25.083316 ,121.463894 ,蘆洲區
1035,丹鳳派出所,38,25.027694 ,121.414662 ,新莊區
1036,小金門友誼公園,60,24.977227,121.538140,新店區
1037,中興寶橋路口,52,24.976180 ,121.546870 ,新店區
1038,新莊棒球場,74,25.041603 ,121.446053 ,新莊區
1039,頂溪國小,44,25.015811,121.511261,永和區
1040,永和國小,38,25.002272 ,121.517442 ,永和區
1041,秀朗國小,46,24.999392 ,121.522843 ,永和區
1042,台北慈濟醫院,40,24.985872 ,121.536887 ,新店區
1043,捷運頂溪站(1號出口),36,25.012176 ,121.515271 ,永和區
1044,保安永平路口,42,25.012691 ,121.506471 ,永和區
1045,崇光女中,36,24.972127 ,121.539554 ,新店區
1046,新店高中,42,24.974181 ,121.534209 ,新店區
1047,新莊文化藝術中心,48,25.047150 ,121.444453 ,新莊區
1048,中華中原路口,58,25.054232,121.451752,新莊區
1049,新北高中,60,25.087225 ,121.489525 ,三重區
1050,福壽公園,36,25.051829 ,121.457746 ,新莊區
